model,src_radical,tgt_radical,n_src_chars,top10_target_rate,baseline_rate,lift
xlm-roberta-base,10,163,21,0.023809523809523808,0.008563273073263558,2.7804232804232805
xlm-roberta-base,10,164,21,0.0380952380952381,0.007294640025372661,5.222360248447205
xlm-roberta-base,10,167,21,0.14285714285714285,0.03758325404376784,3.8010849909584086
xlm-roberta-base,10,169,21,0.047619047619047616,0.010624801776086268,4.4818763326226
xlm-roberta-base,10,170,21,0.023809523809523808,0.010624801776086268,2.2409381663113
xlm-roberta-base,10,172,21,0.009523809523809525,0.004123057405645417,2.30989010989011
xlm-roberta-base,10,173,21,0.04285714285714286,0.0060260069774817635,7.1120300751879695
xlm-roberta-base,10,181,21,0.02857142857142857,0.012210593085949888,2.339888682745826
xlm-roberta-base,10,184,21,0.08095238095238096,0.010466222645099905,7.734632034632035
xlm-roberta-base,10,187,21,0.047619047619047616,0.012052013954963527,3.951127819548872
xlm-roberta-base,10,195,21,0.09047619047619047,0.008721852204249921,10.373506493506493
xlm-roberta-base,10,196,21,0.06666666666666667,0.010466222645099905,6.36969696969697
xlm-roberta-base,15,1,26,0.015384615384615385,0.004915953060577228,3.1295285359801492
xlm-roberta-base,15,9,26,0.03076923076923077,0.040279099270535995,0.7639006662628711
xlm-roberta-base,15,10,26,0.015384615384615385,0.003330161750713606,4.61978021978022
xlm-roberta-base,15,18,26,0.057692307692307696,0.011100539169045354,5.197252747252747
xlm-roberta-base,15,19,26,0.038461538461538464,0.00650174437044085,5.915572232645403
xlm-roberta-base,15,27,26,0.015384615384615385,0.003330161750713606,4.61978021978022
xlm-roberta-base,15,30,26,0.18846153846153846,0.05629559150015858,3.3477139761646804
xlm-roberta-base,15,31,26,0.04230769230769231,0.005867427846495401,7.210602910602911
xlm-roberta-base,15,32,26,0.05,0.021249603552172536,2.3529850746268655
xlm-roberta-base,15,37,26,0.023076923076923078,0.005867427846495401,3.9330561330561333
xlm-roberta-base,15,38,26,0.10384615384615385,0.02156676181414526,4.815101809954752
xlm-roberta-base,15,39,26,0.03461538461538462,0.0045987947986045035,7.527055702917773
xlm-roberta-base,15,40,26,0.023076923076923078,0.010466222645099905,2.204895104895105
xlm-roberta-base,15,44,26,0.007692307692307693,0.00507453219156359,1.5158653846153847
