model,layer,pool,iso,intra_mean,inter_mean,delta,cohens_d,p_welch,p_perm,ci_lower,ci_upper,rsa_rho,rsa_p,n_intra,n_inter
bert-base-multilingual-cased,8,mean,1,0.05948324874043465,0.016442226245999336,0.04304102063179016,0.203459835335984,5.917319442110893e-17,0.000999000999000999,0.03318263702094555,0.05304655274376273,0.033346166682753545,0.0,3400,3400
bert-base-multilingual-cased,9,char,0,0.798908531665802,0.790490984916687,0.00841754674911499,0.1461235964743918,1.7809222386794328e-09,0.000999000999000999,0.005585803091526032,0.01099860519170761,0.02640328128809289,4.1170923013092224e-305,3400,3400
bert-base-multilingual-cased,9,char,1,0.057747066020965576,0.019557105377316475,0.03818996250629425,0.19811928105948073,3.6908330403277165e-16,0.000999000999000999,0.02954286765307188,0.047675685677677396,0.03658699824539754,0.0,3400,3400
bert-base-multilingual-cased,9,mean,0,0.8662955164909363,0.8611953258514404,0.00510019063949585,0.10615813097665801,1.2211485678255545e-05,0.000999000999000999,0.0026655420660972595,0.007335627079010009,0.023288187734091,7.998469181631778e-238,3400,3400
bert-base-multilingual-cased,9,mean,1,0.05510806664824486,0.017872029915452003,0.037236034870147705,0.17227020738283474,1.346627148291715e-12,0.000999000999000999,0.02721216264180839,0.04765742402523756,0.02871225719110529,0.0,3400,3400
bert-base-multilingual-cased,10,char,0,0.8350686430931091,0.8285953402519226,0.0064733028411865234,0.11948173021265221,8.573497548726253e-07,0.000999000999000999,0.0038173794746398926,0.00898994654417038,0.02216856867707849,1.0661230958020662e-215,3400,3400
bert-base-multilingual-cased,10,char,1,0.05663704499602318,0.01997029408812523,0.03666675090789795,0.18362321123511527,4.197149493231533e-14,0.000999000999000999,0.02792065367102623,0.046249402873218055,0.030012256156704394,0.0,3400,3400
bert-base-multilingual-cased,10,mean,0,0.880448043346405,0.8760091662406921,0.004438877105712891,0.09429795260376299,0.00010204803473924385,0.000999000999000999,0.0022189140319824217,0.006778807938098907,0.01702666060461399,4.564647687280264e-128,3400,3400
bert-base-multilingual-cased,10,mean,1,0.059075698256492615,0.01404181495308876,0.045033883303403854,0.20641550871713146,2.105643672116847e-17,0.000999000999000999,0.03542183851823211,0.05520913228392601,0.03699336516071055,0.0,3400,3400
bert-base-multilingual-cased,11,char,0,0.8403542637825012,0.8344697952270508,0.0058844685554504395,0.09848786473054122,4.946950432646193e-05,0.000999000999000999,0.0030501767992973327,0.008678969740867612,0.01556885907620255,2.13798277585035e-107,3400,3400
bert-base-multilingual-cased,11,char,1,0.05944836884737015,0.019838230684399605,0.03961014002561569,0.19867447213213096,3.0579578502967604e-16,0.000999000999000999,0.030110548762604595,0.04940359964966774,0.03398657235240742,0.0,3400,3400
bert-base-multilingual-cased,11,mean,0,0.8744696378707886,0.8700876235961914,0.004382014274597168,0.0795736109261996,0.0010399101472157724,0.000999000999000999,0.001772826910018921,0.007092732191085815,0.01460319582802101,1.0182580030521133e-94,3400,3400
bert-base-multilingual-cased,11,mean,1,0.06024862453341484,0.0178164541721344,0.04243217036128044,0.20310664032887082,6.689146886612849e-17,0.000999000999000999,0.03268750961869955,0.05268941735848784,0.033778015541232886,0.0,3400,3400
bert-base-multilingual-cased,12,char,0,0.5040608048439026,0.48592978715896606,0.018131017684936523,0.15366953320233526,2.5103941546846317e-10,0.000999000999000999,0.01242200955748558,0.02368427664041519,0.030215149843499392,0.0,3400,3400
bert-base-multilingual-cased,12,char,1,0.057226281613111496,0.01793736033141613,0.039288923144340515,0.20177972363375388,1.0578316193349052e-16,0.000999000999000999,0.029870213847607373,0.049126533977687355,0.04179853302606399,0.0,3400,3400
bert-base-multilingual-cased,12,mean,0,0.5474112033843994,0.5316342711448669,0.01577693223953247,0.133852211411389,3.53828053599045e-08,0.000999000999000999,0.010001233220100403,0.021321588754653932,0.029742018281792706,0.0,3400,3400
bert-base-multilingual-cased,12,mean,1,0.0567438118159771,0.015577273443341255,0.04116653650999069,0.20575638135297913,2.6553384298792205e-17,0.000999000999000999,0.031517060566693546,0.05081778261810541,0.039734260573785644,0.0,3400,3400
cl-tohoku/bert-base-japanese-char-v3,0,char,0,0.35358187556266785,0.34894031286239624,0.0046415627002716064,0.019202690861733318,0.42853386760035117,0.21978021978021978,-0.006592274457216263,0.015828213095664977,0.02297153582289399,1.8655349270098715e-231,3400,3400
cl-tohoku/bert-base-japanese-char-v3,0,char,1,0.11585809290409088,0.10680846869945526,0.00904962420463562,0.02667538579822027,0.2714343698112619,0.14085914085914086,-0.007129153236746788,0.0255630973726511,0.019991720582411877,8.480672651517161e-176,3400,3400
cl-tohoku/bert-base-japanese-char-v3,0,mean,0,0.7704182267189026,0.7690960764884949,0.0013221502304077148,0.014948740860490048,0.5376777689849636,0.27372627372627373,-0.0027411893010139466,0.005551826953887939,0.018423458312921397,1.3319157840445797e-149,3400,3400
cl-tohoku/bert-base-japanese-char-v3,0,mean,1,0.11585809290409088,0.10680846869945526,0.00904962420463562,0.02667538591576214,0.2714343698112619,0.14085914085914086,-0.007129145972430706,0.0255630973726511,0.019830948777486996,5.154043648389829e-173,3400,3400
cl-tohoku/bert-base-japanese-char-v3,3,char,0,0.5586934685707092,0.5563127398490906,0.0023807287216186523,0.013032582541639604,0.5910511512519571,0.3046953046953047,-0.006411637365818024,0.010965099930763242,0.020846687214380988,5.5970687462564826e-191,3400,3400
cl-tohoku/bert-base-japanese-char-v3,3,char,1,0.12206856906414032,0.10976412892341614,0.012304440140724182,0.03651537025044436,0.13222504550814812,0.061938061938061936,-0.003775486536324023,0.028956124186515806,0.027231023107006567,0.0,3400,3400
cl-tohoku/bert-base-japanese-char-v3,3,mean,0,0.8710015416145325,0.8702754378318787,0.0007261037826538086,0.013487057476289286,0.5781387428107505,0.2967032967032967,-0.0018963679671287537,0.0032372117042541505,0.0201141057376749,6.22765373245196e-178,3400,3400
cl-tohoku/bert-base-japanese-char-v3,3,mean,1,0.12133210897445679,0.11000960320234299,0.0113225057721138,0.033551314394621876,0.16660130022341837,0.08691308691308691,-0.004576241225004195,0.027689291909337038,0.024425877908730905,2.0209157411950496e-261,3400,3400
