model,field,dominant_radical,n_same_radical,n_diff_radical,intra_mean,cross_mean,delta,cohens_d,p_welch,p_perm,n_intra_pairs,n_cross_pairs,p_perm_holm
glyph_only/resnet18,mammal_dom,94,7,8,0.3329269289970398,-0.03469725325703621,0.3676241934299469,3.189393968686739,2.90859517787781e-13,0.0001999600079984003,21,56,0.003999200159968006
glyph_only/resnet18,body_external,181,4,12,0.40060532093048096,-0.07117143273353577,0.4717767536640167,4.852094667092761,2.564999135553046e-07,0.0001999600079984003,6,48,0.003999200159968006
glyph_only/resnet18,limb,130,8,6,0.1868586391210556,-0.014670959673821926,0.2015295922756195,1.083804983714606,0.0003405898768168438,0.0001999600079984003,28,48,0.003999200159968006
glyph_only/resnet18,kinship,38,11,7,0.3747488260269165,0.002780013717710972,0.3719688057899475,2.585647448097917,4.590354802922293e-26,0.0001999600079984003,55,77,0.003999200159968006
glyph_only/resnet18,mental,61,12,4,0.07061319798231125,0.004239894449710846,0.0663733035326004,0.4208769967738494,0.025237034624658997,0.013197360527894421,66,48,0.03959208158368326
glyph_only/resnet18,speech,149,13,7,0.19655841588974,-0.010177054442465305,0.20673547685146332,1.354306337587257,7.16823300311472e-15,0.0001999600079984003,78,91,0.003999200159968006
glyph_only/resnet18,vision,109,14,4,0.17130132019519806,-0.06550294160842896,0.23680426180362701,1.4877619629094052,5.412742054385147e-14,0.0001999600079984003,91,56,0.003999200159968006
glyph_only/resnet18,tool,167,8,5,0.27351313829421997,-0.0025220538955181837,0.2760351896286011,2.0443344357381195,5.9692027874593345e-12,0.0001999600079984003,28,40,0.003999200159968006
glyph_only/resnet18,building,32,4,12,0.0482812225818634,0.05625974014401436,-0.007978517562150955,-0.049142837069671395,0.9169483351523977,0.5250949810037993,6,48,0.5250949810037993
glyph_only/resnet18,food_grain,119,5,9,0.255028635263443,0.033432021737098694,0.2215966135263443,1.2565682759200576,0.0031602477913221716,0.0009998000399920016,10,45,0.003999200159968006
hfl/chinese-bert-wwm-ext,water,85,23,6,0.08690671622753143,0.0668916404247284,0.02001507580280304,0.1680607029194044,0.09323395635779154,0.052189562087582485,253,138,0.39832033593281346
hfl/chinese-bert-wwm-ext,metal,167,20,7,0.13436836004257202,0.10586255043745041,0.028505809605121613,0.18524022632064158,0.08706402011792104,0.04979004199160168,190,140,0.39832033593281346
hfl/chinese-bert-wwm-ext,wood_plant,75,18,5,0.12629185616970062,0.11934906989336014,0.006942786276340485,0.055558706313048156,0.667139868125842,0.3411317736452709,153,90,1.0
hfl/chinese-bert-wwm-ext,earth,32,18,4,0.11347497999668121,0.07180263847112656,0.04167234152555466,0.4001827713240086,0.004956847801846261,0.0015996800639872025,153,72,0.02559488102379524
hfl/chinese-bert-wwm-ext,stone,112,15,6,0.09894564747810364,0.05124402046203613,0.047701627016067505,0.3309330242300024,0.021170283020407462,0.010397920415916816,105,90,0.11437712457508498
hfl/chinese-bert-wwm-ext,mountain,46,13,5,0.14294734597206116,0.09420657157897949,0.048740774393081665,0.31851279753993517,0.0555530392801148,0.02659468106378724,78,65,0.2659468106378724
hfl/chinese-bert-wwm-ext,grass_plant,140,17,5,0.13296431303024292,0.10910693556070328,0.023857377469539642,0.1556595340090811,0.25913646413504593,0.1341731653669266,136,85,0.5366926614677064
hfl/chinese-bert-wwm-ext,sky_weather,173,7,5,0.2390081137418747,0.09973184019327164,0.13927626609802246,1.1227014462370501,0.0021352350049030043,0.0003999200159968006,21,35,0.007198560287942411
hfl/chinese-bert-wwm-ext,bird,196,14,10,0.3061188757419586,0.21920567750930786,0.08691319823265076,0.4876272607781924,0.00035617348339046784,0.0003999200159968006,91,140,0.007198560287942411
hfl/chinese-bert-wwm-ext,fish,195,13,4,0.38919150829315186,0.2893179655075073,0.09987354278564453,0.4986010313093627,0.003552331619050929,0.003199360127974405,78,52,0.04799040191961607
hfl/chinese-bert-wwm-ext,mammal_dom,94,7,8,0.4615169167518616,0.2354704588651657,0.22604645788669586,1.262601819630688,1.240624786114718e-08,0.0001999600079984003,21,56,0.003999200159968006
hfl/chinese-bert-wwm-ext,body_external,181,4,12,0.16433531045913696,0.16548199951648712,-0.0011466890573501587,-0.00706865706249246,0.98646464922327,0.5006998600279944,6,48,1.0
hfl/chinese-bert-wwm-ext,limb,130,8,6,0.464468389749527,0.25346916913986206,0.21099922060966492,1.4814945461210007,2.3122141084525605e-08,0.0001999600079984003,28,48,0.003999200159968006
hfl/chinese-bert-wwm-ext,kinship,38,11,7,0.2707071304321289,0.20856142044067383,0.06214570999145508,0.4250825940392624,0.01652177969089481,0.007398520295940812,55,77,0.09618076384723057
hfl/chinese-bert-wwm-ext,mental,61,12,4,0.13555757701396942,0.0997907817363739,0.03576679527759552,0.2925096516555549,0.1333984896889298,0.05838832233553289,66,48,0.39832033593281346
hfl/chinese-bert-wwm-ext,speech,149,13,7,0.10536207258701324,0.07409287244081497,0.03126920014619827,0.295841451962992,0.05865025927295939,0.028994201159768047,78,91,0.2659468106378724
hfl/chinese-bert-wwm-ext,vision,109,14,4,0.14202183485031128,0.09107226133346558,0.0509495735168457,0.40808216500062017,0.013624414287274506,0.008998200359928014,91,56,0.10797840431913616
hfl/chinese-bert-wwm-ext,tool,167,8,5,0.23465576767921448,0.16603031754493713,0.06862545013427734,0.6547346483259047,0.008586704833188984,0.004399120175964807,28,40,0.0615876824635073
hfl/chinese-bert-wwm-ext,building,32,4,12,0.26009881496429443,0.1885196417570114,0.07157917320728302,0.5765655713997722,0.3572039656011337,0.10017996400719856,6,48,0.5008998200359928
hfl/chinese-bert-wwm-ext,food_grain,119,5,9,0.21126118302345276,0.2757476270198822,-0.06448644399642944,-0.38985750842442474,0.22451310855465756,0.8714257148570286,10,45,1.0
