model,anchor_r1,r1_num,anchor_r2,r2_num,n_trials,top1_target_rate,top10_target_rate,baseline_rate,lift_top10
BAAI/bge-large-zh-v1.5,山,46,口,30,30,0.0,0.3333333333333333,0.05629559150015858,5.9211267605633795
BAAI/bge-large-zh-v1.5,山,46,言,149,30,0.4,0.4266666666666667,0.03853472882968601,11.072263374485598
BAAI/bge-large-zh-v1.5,山,46,鸟,196,30,0.9666666666666667,0.6133333333333333,0.010466222645099905,58.601212121212114
BAAI/bge-large-zh-v1.5,山,46,鱼,195,30,1.0,0.72,0.008721852204249921,82.55127272727272
BAAI/bge-large-zh-v1.5,山,46,石,112,30,0.13333333333333333,0.17666666666666667,0.013320647002854425,13.262619047619047
BAAI/bge-large-zh-v1.5,山,46,田,102,30,0.03333333333333333,0.023333333333333334,0.005550269584522677,4.204000000000001
BAAI/bge-large-zh-v1.5,山,46,目,109,30,0.1,0.13666666666666666,0.012210593085949888,11.192467532467532
BAAI/bge-large-zh-v1.5,石,112,水,85,30,0.6,0.5166666666666667,0.06454170631144941,8.005159705159706
BAAI/bge-large-zh-v1.5,石,112,火,86,30,0.7,0.8,0.021408182683158895,37.36888888888889
BAAI/bge-large-zh-v1.5,石,112,木,75,30,0.43333333333333335,0.5266666666666666,0.047573739295908656,11.070533333333334
BAAI/bge-large-zh-v1.5,石,112,金,167,30,0.6333333333333333,0.42333333333333334,0.03758325404376784,11.263881856540085
BAAI/bge-large-zh-v1.5,石,112,心,61,30,0.06666666666666667,0.17,0.03330161750713606,5.104857142857143
BAAI/bge-large-zh-v1.5,石,112,口,30,30,0.0,0.32666666666666666,0.05629559150015858,5.802704225352112
BAAI/bge-large-zh-v1.5,石,112,言,149,30,0.03333333333333333,0.23333333333333334,0.03853472882968601,6.055144032921811
BAAI/bge-large-zh-v1.5,石,112,鸟,196,30,0.9666666666666667,0.49,0.010466222645099905,46.81727272727273
BAAI/bge-large-zh-v1.5,石,112,鱼,195,30,0.9333333333333333,0.65,0.008721852204249921,74.52545454545455
BAAI/bge-large-zh-v1.5,石,112,山,46,30,0.26666666666666666,0.19666666666666666,0.012686330478908976,15.502249999999998
BAAI/bge-large-zh-v1.5,石,112,田,102,30,0.06666666666666667,0.07,0.005550269584522677,12.612000000000002
BAAI/bge-large-zh-v1.5,石,112,目,109,30,0.03333333333333333,0.13,0.012210593085949888,10.646493506493508
BAAI/bge-large-zh-v1.5,田,102,水,85,30,0.5333333333333333,0.5066666666666667,0.06454170631144941,7.850221130221131
BAAI/bge-large-zh-v1.5,田,102,火,86,30,0.8666666666666667,0.88,0.021408182683158895,41.10577777777778
BAAI/bge-large-zh-v1.5,田,102,木,75,30,0.7,0.77,0.047573739295908656,16.1854
BAAI/bge-large-zh-v1.5,田,102,金,167,30,0.7333333333333333,0.4166666666666667,0.03758325404376784,11.086497890295359
BAAI/bge-large-zh-v1.5,田,102,心,61,30,0.06666666666666667,0.11333333333333333,0.03330161750713606,3.403238095238095
BAAI/bge-large-zh-v1.5,田,102,口,30,30,0.0,0.2966666666666667,0.05629559150015858,5.269802816901409
BAAI/bge-large-zh-v1.5,田,102,言,149,30,0.5,0.4666666666666667,0.03853472882968601,12.110288065843623
BAAI/bge-large-zh-v1.5,田,102,鸟,196,30,0.9333333333333333,0.5933333333333334,0.010466222645099905,56.690303030303035
BAAI/bge-large-zh-v1.5,田,102,鱼,195,30,0.9666666666666667,0.6133333333333333,0.008721852204249921,70.32145454545454
BAAI/bge-large-zh-v1.5,田,102,山,46,30,0.5333333333333333,0.4666666666666667,0.012686330478908976,36.785
BAAI/bge-large-zh-v1.5,田,102,石,112,30,0.2,0.25,0.013320647002854425,18.767857142857142
BAAI/bge-large-zh-v1.5,田,102,目,109,30,0.03333333333333333,0.08,0.012210593085949888,6.551688311688312
BAAI/bge-large-zh-v1.5,目,109,水,85,30,0.5333333333333333,0.4533333333333333,0.06454170631144941,7.023882063882064
BAAI/bge-large-zh-v1.5,目,109,火,86,30,0.8666666666666667,0.82,0.021408182683158895,38.30311111111111
BAAI/bge-large-zh-v1.5,目,109,木,75,30,0.3333333333333333,0.32666666666666666,0.047573739295908656,6.866533333333334
BAAI/bge-large-zh-v1.5,目,109,金,167,30,0.5333333333333333,0.4666666666666667,0.03758325404376784,12.416877637130803
BAAI/bge-large-zh-v1.5,目,109,心,61,30,0.13333333333333333,0.21333333333333335,0.03330161750713606,6.406095238095238
